depth,root_x,sub_y,kind,coordinate,wikilink,direct_parent,prime_parent,planned_name,notes
2,2,2,sub_direct,S2.2,"[[S2.2]]","[[S2]]","[[S2']]","Graph Ingestion Operations","RAG-Anything / MinerU parse pipeline; chunking; embedding write"
2,2,2,sub_prime,S2.2',"[[S2.2']]","[[S2]]","[[S2']]","Graph Operation Contract","Ingestion law; chunk boundary rules; 3072-dim embedding contract"
2,2,3,sub_direct,S2.3,"[[S2.3]]","[[S2]]","[[S2']]","Graph Retrieval Patterns","LightRAG query patterns; Cypher templates; cross-namespace traversal"
2,2,3,sub_prime,S2.3',"[[S2.3']]","[[S2]]","[[S2']]","Graph Relation Patterns","MAPS_TO_COORDINATE law; RESONATES_WITH classification; edge type semantics"
2,2,4,sub_direct,S2.4,"[[S2.4]]","[[S2]]","[[S2']]","Graph Context Layer","Redis hot layer; session-scoped graph context; vector proximity window"
2,2,4,sub_prime,S2.4',"[[S2.4']]","[[S2]]","[[S2']]","Graph Context Economy","Reranking contract; episodic return via Graphiti; relevance scoring law"
2,2,5,sub_direct,S2.5,"[[S2.5]]","[[S2]]","[[S2']]","Graph Integration Surface","bimba-mcp query interface; external graph API; export shapes"
2,2,5,sub_prime,S2.5',"[[S2.5']]","[[S2]]","[[S2']]","Graph Return Law","What graph retrieval is permitted to surface; disclosure density contract"
2,3,0,sub_direct,S3.0,"[[S3.0]]","[[S3]]","[[S3']]","Gateway Primitive Ground","WebSocket base; port 18794; raw connection management"
2,3,0,sub_prime,S3.0',"[[S3.0']]","[[S3]]","[[S3']]","Gateway Contract Ground","Protocol v3; hello-ok handshake; session contract invariants"
2,3,1,sub_direct,S3.1,"[[S3.1]]","[[S3]]","[[S3']]","Gateway Message Form","Request/response schema; channel types; message envelope shape"
2,3,1,sub_prime,S3.1',"[[S3.1']]","[[S3]]","[[S3']]","Gateway Form Law","Method name contracts; OmniPanel parity; techne primitive naming"
2,3,2,sub_direct,S3.2,"[[S3.2]]","[[S3]]","[[S3']]","Gateway Session Operations","Session create/list/patch/reset; history semantics; requester routing"
2,3,2,sub_prime,S3.2',"[[S3.2']]","[[S3]]","[[S3']]","Gateway Operation Contract","techne_gateway_start/stop/status; SessionStore as source of truth"
2,3,3,sub_direct,S3.3,"[[S3.3]]","[[S3]]","[[S3']]","Gateway Routing Patterns","Agent-scoped routing; swarm dispatch; channel differentiation"
2,3,3,sub_prime,S3.3',"[[S3.3']]","[[S3]]","[[S3']]","Shared State Patterns","SpacetimeDB presence patterns; multi-session coordination; broadcast semantics"
2,3,4,sub_direct,S3.4,"[[S3.4]]","[[S3]]","[[S3']]","Gateway Presence Context","SpacetimeDB live state; torus hash; hexagram presence; tick12"
2,3,4,sub_prime,S3.4',"[[S3.4']]","[[S3]]","[[S3']]","Temporal Surfacing","Chronos temporal contract; kairos state; planet_degrees[10]; kerykeion surfacing"
2,3,5,sub_direct,S3.5,"[[S3.5]]","[[S3]]","[[S3']]","Gateway Integration Surface","Electron app bridge; external webhook hooks; cross-system broadcast"
2,3,5,sub_prime,S3.5',"[[S3.5']]","[[S3]]","[[S3']]","Gateway Return Law","Session history shape; arc tracking; what the runtime yielded per session"
2,4,0,sub_direct,S4.0,"[[S4.0]]","[[S4]]","[[S4']]","Agent Bootstrap Ground","khora; session identity; bootstrap sequence; varlock secrets"
2,4,0,sub_prime,S4.0',"[[S4.0']]","[[S4]]","[[S4']]","Bootstrap Law","Bootstrap sequence order is sacred; khora_write authority invariant; session ID format"
2,4,1,sub_direct,S4.1,"[[S4.1]]","[[S4]]","[[S4']]","Agent Content Form","hen; Day/NOW templates; vault folder topology; content membrane"
2,4,1,sub_prime,S4.1',"[[S4.1']]","[[S4]]","[[S4']]","Content Form Law","Canonical Day/NOW structure; template instantiation contract; c_ frontmatter law"
2,4,2,sub_direct,S4.2,"[[S4.2]]","[[S4]]","[[S4']]","Agent Skill Operations","pleroma; skill layer; techne helper boundary; tool seams"
2,4,2,sub_prime,S4.2',"[[S4.2']]","[[S4]]","[[S4']]","Skill Operation Law","Skill contract; techne as bounded helper; tool permission model"
2,4,3,sub_direct,S4.3,"[[S4.3]]","[[S4]]","[[S4']]","Agent Temporal Patterns","chronos; cron scheduling; session arc patterns; kairos integration"
2,4,3,sub_prime,S4.3',"[[S4.3']]","[[S4]]","[[S4']]","Temporal Pattern Law","Day arc shape; session boundary invariants; archive before open"
2,4,4,sub_direct,S4.4,"[[S4.4]]","[[S4]]","[[S4']]","Agent Context Inhabitation","anima; constitutional agents; Psyche; lived-environs; NOW as real environment"
2,4,4,sub_prime,S4.4',"[[S4.4']]","[[S4]]","[[S4']]","Agentic Inhabitation Law","VAK execution grammar; team composition contract; CPF (00/00) gate rule"
2,4,5,sub_direct,S4.5,"[[S4.5]]","[[S4]]","[[S4']]","Agent Return and Crystallisation","aletheia; Sophia; disclosure; cross-system crystallisation"
2,4,5,sub_prime,S4.5',"[[S4.5']]","[[S4]]","[[S4']]","Agent Return Law","Improvement loop contract; Aletheia subagent roles; Zeithoven next-form shaping"
2,5,0,sub_direct,S5.0,"[[S5.0]]","[[S5]]","[[S5']]","World Ground","Notion base; external crystallisation entry point; outward-facing root"
2,5,0,sub_prime,S5.0',"[[S5.0']]","[[S5]]","[[S5']]","Recollection Ground","Night' pass trigger; session close initiation; archive signal contract"
2,5,1,sub_direct,S5.1,"[[S5.1]]","[[S5]]","[[S5']]","World Form","Notion page structures; external artifact forms; publication-ready shapes"
2,5,1,sub_prime,S5.1',"[[S5.1']]","[[S5]]","[[S5']]","Recollection Form","What crystallisation artifacts look like; T5' insight form; seed emergence shape"
2,5,2,sub_direct,S5.2,"[[S5.2]]","[[S5]]","[[S5']]","World Write Operations","Notion sync; export; external surface write"
2,5,2,sub_prime,S5.2',"[[S5.2']]","[[S5]]","[[S5']]","Recollection Operations","Aletheia crystallisation ops; Moirai memory weave; Graphiti arc commit"
2,5,3,sub_direct,S5.3,"[[S5.3]]","[[S5]]","[[S5']]","World Delivery Patterns","Publication; sharing; external communication shapes"
2,5,3,sub_prime,S5.3',"[[S5.3']]","[[S5]]","[[S5']]","Episodic Return Patterns","Graphiti arc completion; episodic trace structure; Janus threshold marking"
2,5,4,sub_direct,S5.4,"[[S5.4]]","[[S5]]","[[S5']]","World Audience Context","External delivery surface; audience framing; outward presentation"
2,5,4,sub_prime,S5.4',"[[S5.4']]","[[S5]]","[[S5']]","Improvement Context","Sophia developmental vectors; Darshana precision loops; evaluation surfaces"
2,5,5,sub_direct,S5.5,"[[S5.5]]","[[S5]]","[[S5']]","World Integration / Möbius Return","Full synthesis; the system completing its outward arc"
2,5,5,sub_prime,S5.5',"[[S5.5']]","[[S5]]","[[S5']]","Improvement Law","Keep/discard rules; promotion path contract; residue class for future learning"
